Country,iso_a3,currency_code,local_price,actual_nominal_ex_rate
United Arab Emirates,ARE,AED,18,3.6729
Argentina,ARG,ARS,7300,1050.0001
Australia,AUS,AUD,7.75,1.591216485
Azerbaijan,AZE,AZN,6.24,1.7
Bahrain,BHR,BHD,1.7,0.377
Brazil,BRA,BRL,23.9,5.9367
Canada,CAN,CAD,7.81,1.43845
Switzerland,CHE,CHF,7.2,0.90085
Chile,CHL,CLP,4490,987.25
China,CHN,CNY,25.5,7.24785
Colombia,COL,COP,21900,4232.22
Costa Rica,CRI,CRC,2990,506.625
Czech Republic,CZE,CZK,109,23.8918
Denmark,DNK,DKK,39,7.1077
Egypt,EGY,EGP,135,50.25
Euro area,EUZ,EUR,5.67,0.95247
Britain,GBR,GBP,4.59,0.80164
Guatemala,GTM,GTQ,31,7.7215
Hong Kong,HKG,HKD,24,7.7877
Honduras,HND,HNL,105,25.465
Hungary,HUN,HUF,1420,389.43235
Indonesia,IDN,IDR,41000,16172.5
India,IND,INR,226,86.34125
Israel,ISR,ILS,17,3.60575
Jordan,JOR,JOD,2.5,0.709
Japan,JPN,JPY,480,154.355
South Korea,KOR,KRW,5500,1431.2
Kuwait,KWT,KWD,1.4,0.3081
Lebanon,LBN,LBP,480000,89550
Moldova,MDA,MDL,65,18.45
Mexico,MEX,MXN,95,20.647
Malaysia,MYS,MYR,13.15,4.3785
Nicaragua,NIC,NIO,164,36.6243
Norway,NOR,NOK,75,11.2368
New Zealand,NZL,NZD,8.4,1.759479194
Oman,OMN,OMR,1.53,0.385
Pakistan,PAK,PKR,1050,278.85
Peru,PER,PEN,16.9,3.73135
Philippines,PHL,PHP,169,58.435
Poland,POL,PLN,20.9,4.01115
Qatar,QAT,QAR,15,3.641
Romania,ROU,RON,16.25,4.73835
Saudi Arabia,SAU,SAR,19,3.7508
Singapore,SGP,SGD,6.95,1.3444
Sweden,SWE,SEK,62,10.93675
Thailand,THA,THB,135,33.6925
Turkey,TUR,TRY,190,35.74025
Taiwan,TWN,TWD,78,32.728
Ukraine,UKR,UAH,120,42
Uruguay,URY,UYU,299,43.27
United States,USA,USD,5.79,1
Venezuela,VEN,VES,252,56.5814
Vietnam,VNM,VND,76000,25078
South Africa,ZAF,ZAR,51.9,18.6913
